State,County,Civilian labor force 2007,Employed 2007,Civilian labor force 2007,Employed 2007,Unemployed 2007,Unemployment rate 2007,Civilian labor force 2008,Employed 2008,Unemployed 2008,Unemployment rate 2008,Civilian labor force 2009,Employed 2009,Unemployed 2009,Unemployment rate 2009,Civilian abor force 2010,Employed 2010,Unemployed 2010,Unemployment rate 2010,Civilian labor force 2011,Employed 2011,Unemployed 2011,Unemploymen trate 2011,Civilian labor force 2012,Employed 2012,Unemployed 2012,Unemployment rate 2012,Civilian labor force 2013,Employed 2013,Unemployed 2013,Unemployment rate 2013,Civilian labor force 2014,Employed 2014,Unemployed 2014,Unemployment rate 2014,Civilian labor force 2015,Employed 2015,Unemployed 2015,Unemployment rate 2015,Civilian labor force 2016,Employed 2016,Unemployed 2016,Unemployment rate 2016,Civilian labor force 2017,Employed 2017,Unemployed 2017,Unemployment rate 2017,Civilian labor force 2018,Employed 2018,Unemployed 2018,Unemployment rate 2018,Median Household Income 2017,Income % of State Total 2017
AL,"Autauga County, AL",24383.00,23577.00,24383.00,23577.00,806.00,3.30,24687.00,23420.00,1267.00,5.10,24703.00,22301.00,2402.00,9.70,25713.00,23431.00,2282.00,8.90,25836.00,23677.00,2159.00,8.40,25740.00,23961.00,1779.00,6.90,25810.00,24205.00,1605.00,6.20,25592.00,24097.00,1495.00,5.80,25613.00,24283.00,1330.00,5.20,25966.00,24645.00,1321.00,5.10,25972.00,24958.00,1014.00,3.90,25957.00,25015.00,942.00,3.60,"$58,343",121.10
AL,"Barbour County, AL",10334.00,9684.00,10334.00,9684.00,650.00,6.30,10161.00,9267.00,894.00,8.80,10003.00,8572.00,1431.00,14.30,10221.00,8959.00,1262.00,12.30,9849.00,8712.00,1137.00,11.50,9362.00,8283.00,1079.00,11.50,9099.00,8168.00,931.00,10.20,8845.00,7913.00,932.00,10.50,8613.00,7848.00,765.00,8.90,8417.00,7717.00,700.00,8.30,8317.00,7831.00,486.00,5.80,8373.00,7940.00,433.00,5.20,"$32,490",67.40
AL,"Bibb County, AL",8791.00,8432.00,8791.00,8432.00,359.00,4.10,8749.00,8241.00,508.00,5.80,8742.00,7581.00,1161.00,13.30,8934.00,7914.00,1020.00,11.40,8933.00,7996.00,937.00,10.50,8798.00,8047.00,751.00,8.50,8705.00,8016.00,689.00,7.90,8559.00,7942.00,617.00,7.20,8576.00,8009.00,567.00,6.60,8623.00,8067.00,556.00,6.40,8550.00,8174.00,376.00,4.40,8661.00,8317.00,344.00,4.00,"$45,795",95.00
AL,"Blount County, AL",26629.00,25780.00,26629.00,25780.00,849.00,3.20,26698.00,25453.00,1245.00,4.70,26480.00,23832.00,2648.00,10.00,24906.00,22460.00,2446.00,9.80,25123.00,22939.00,2184.00,8.70,24960.00,23244.00,1716.00,6.90,24887.00,23325.00,1562.00,6.30,24527.00,23023.00,1504.00,6.10,24485.00,23163.00,1322.00,5.40,24623.00,23298.00,1325.00,5.40,24725.00,23726.00,999.00,4.00,25006.00,24128.00,878.00,3.50,"$48,253",100.10
AL,"Bullock County, AL",3653.00,3308.00,3653.00,3308.00,345.00,9.40,3634.00,3251.00,383.00,10.50,3739.00,3156.00,583.00,15.60,4941.00,4356.00,585.00,11.80,4833.00,4272.00,561.00,11.60,4736.00,4245.00,491.00,10.40,4778.00,4331.00,447.00,9.40,4732.00,4314.00,418.00,8.80,4779.00,4400.00,379.00,7.90,4833.00,4503.00,330.00,6.80,4833.00,4595.00,238.00,4.90,4776.00,4552.00,224.00,4.70,"$29,113",60.40
AL,"Butler County, AL",9099.00,8539.00,9099.00,8539.00,560.00,6.20,9051.00,8278.00,773.00,8.50,9104.00,7615.00,1489.00,16.40,9261.00,7998.00,1263.00,13.60,9188.00,8042.00,1146.00,12.50,9088.00,8039.00,1049.00,11.50,9147.00,8206.00,941.00,10.30,9270.00,8477.00,793.00,8.60,9138.00,8444.00,694.00,7.60,9206.00,8571.00,635.00,6.90,8941.00,8446.00,495.00,5.50,8914.00,8487.00,427.00,4.80,"$36,842",76.40
AL,"Cherokee County, AL",11984.00,11484.00,11984.00,11484.00,500.00,4.20,11996.00,11308.00,688.00,5.70,11758.00,10384.00,1374.00,11.70,11464.00,10245.00,1219.00,10.60,11476.00,10364.00,1112.00,9.70,11268.00,10363.00,905.00,8.00,11403.00,10649.00,754.00,6.60,11386.00,10725.00,661.00,5.80,11162.00,10554.00,608.00,5.40,11353.00,10780.00,573.00,5.00,11340.00,10877.00,463.00,4.10,11622.00,11207.00,415.00,3.60,"$44,842",93.00
AL,"Chilton County, AL",19737.00,19067.00,19737.00,19067.00,670.00,3.40,19610.00,18618.00,992.00,5.10,19445.00,17375.00,2070.00,10.60,19462.00,17464.00,1998.00,10.30,19539.00,17753.00,1786.00,9.10,19383.00,17982.00,1401.00,7.20,19359.00,18090.00,1269.00,6.60,19096.00,17899.00,1197.00,6.30,19143.00,18063.00,1080.00,5.60,19219.00,18167.00,1052.00,5.50,19257.00,18470.00,787.00,4.10,19476.00,18773.00,703.00,3.60,"$46,405",96.30
AL,"Choctaw County, AL",5183.00,4875.00,5183.00,4875.00,308.00,5.90,5069.00,4646.00,423.00,8.30,5134.00,4442.00,692.00,13.50,4860.00,4216.00,644.00,13.30,4764.00,4138.00,626.00,13.10,4791.00,4297.00,494.00,10.30,4703.00,4270.00,433.00,9.20,4494.00,4089.00,405.00,9.00,4380.00,3982.00,398.00,9.10,4334.00,3966.00,368.00,8.50,4407.00,4128.00,279.00,6.30,4694.00,4434.00,260.00,5.50,"$36,711",76.20
AL,"Clarke County, AL",10358.00,9730.00,10358.00,9730.00,628.00,6.10,10351.00,9419.00,932.00,9.00,10381.00,8664.00,1717.00,16.50,9108.00,7300.00,1808.00,19.90,8843.00,7181.00,1662.00,18.80,8374.00,7116.00,1258.00,15.00,8285.00,7145.00,1140.00,13.80,8155.00,7162.00,993.00,12.20,7994.00,7057.00,937.00,11.70,7966.00,7102.00,864.00,10.80,7737.00,7078.00,659.00,8.50,7627.00,7057.00,570.00,7.50,"$36,719",76.20
